protocol_id,panel_id,dataset_id,assay_id,task_id,target_id,protein_id,family_id,model_id,protein_length,assayed_fraction,mutated_positions,msa_depth,msa_neff,alignment_coverage,sequence_identity_to_development,structure_similarity_to_development,domain_coverage,score_dispersion,score_tail_separation,missing_fraction,ensemble_agreement,ensemble_disagreement,taxon,assay_modality,model_family,model_modalities,exposure_status,structure_available,exact_sequence_unseen,mmseqs_family_unseen,pfam_clan_unseen,foldseek_structure_family_unseen
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,461,,,,,,0.0,0.3021,0.7310195227765727,4.222135920252364,1.1937380437298721,0.0,0.8676578103993751,0.13234218960062494,human,multiplexed variant effect,convolutional-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,461,,,,,,0.0,0.3021,0.7310195227765727,3.6845157753508624,0.8584838485860391,0.0,0.920176977561304,0.07982302243869599,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,461,,,,,,0.0,0.3021,0.7310195227765727,3.2502148935786273,0.8848840816176936,0.0,0.8939511260560278,0.10604887394397222,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,461,,,,,,0.0,0.3021,0.7310195227765727,4.0914166993034975,1.0357330309117847,0.0,0.9139963228109729,0.08600367718902713,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_8m,461,,,,,,0.0,0.3021,0.7310195227765727,2.7398257289455943,0.8354000486216414,0.0,0.8706379576133194,0.1293620423866806,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-complement-v1::urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,461,,,,,,0.0,0.3021,0.7310195227765727,1.6866477334607832,0.9923531699274148,0.0,0.848406169551635,0.15159383044836505,human,multiplexed variant effect,distilled-evolutionary-variant-effect-model,sequence,known,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-complement-v1::urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,461,,,,,,0.0,0.3021,0.7310195227765727,4.222135920252364,1.1937380437298721,0.0,0.8676578103993751,0.13234218960062494,human,multiplexed variant effect,convolutional-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-complement-v1::urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,461,,,,,,0.0,0.3021,0.7310195227765727,3.6845157753508624,0.8584838485860391,0.0,0.920176977561304,0.07982302243869599,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-complement-v1::urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,461,,,,,,0.0,0.3021,0.7310195227765727,3.2502148935786273,0.8848840816176936,0.0,0.8939511260560278,0.10604887394397222,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-complement-v1::urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,461,,,,,,0.0,0.3021,0.7310195227765727,4.0914166993034975,1.0357330309117847,0.0,0.9139963228109729,0.08600367718902713,human,multiplexed variant effect,masked-protein-language-model,sequence,clean,yes,True,True,False,True
