panel_id,assay_id,target_id,assay_modality,direction,direction_source,included,exclusion_reason,publication_ids,outcomes_accessed
mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False
mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False
mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False
mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False
mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/2024.04.01.587474,False
mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1172/jci168156,False
mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1126/science.aax3649,False
mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False
mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False
mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False
mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False
mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/gr.276562.122,False
mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1101/gr.276562.122,False
mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False
mavedb-complement-v1,urn:mavedb:00001234-b-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False
mavedb-complement-v1,urn:mavedb:00001234-c-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False
mavedb-complement-v1,urn:mavedb:00001234-d-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False
