panel_id,assay_id,target_id,source_locator,source_object_id
mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000094-a-2/scores,e42cb8ef8ee78cbaaf5563df0133a11f6748dd7190fd15ebf8d7cb2370c90431
mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000094-a-3/scores,450346089255adce56967392aa9409c1261168d9a1a379b0c8e577d3a6f83d3a
mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000659-a-1/scores,355ab5c249a902045383261115ac780f93ee459693f20e0d091d157ac846a6b2
mavedb-complement-v1,urn:mavedb:00000665-a-1,mavedb-aebeb991234cd8a3,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000665-a-1/scores,cb8155c63de3fc94aaf4e9f588d21069f6c92130575b7f7673a4b558b919b01a
mavedb-complement-v1,urn:mavedb:00000665-b-1,mavedb-aebeb991234cd8a3,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000665-b-1/scores,ba7def0a57d66c065e42ab4106b8d518cedcb1bec7fce35dbaa2fd42caa1d672
mavedb-complement-v1,urn:mavedb:00000665-c-1,mavedb-aebeb991234cd8a3,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000665-c-1/scores,78daf84a11bf7d6fde63f554e0c7e875fe88b0b08565eb34c1ffe154c3d65013
mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00000665-d-1/scores,d87735f6a5be80285f9d46ef922c7ab6130034b6df826251262c6e2eb6e1c881
mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001200-a-1/scores,16427436b9ae5511a2f9ca7d4cbf738d05d22edbc3c8c5cb5b09e2e852d85de3
mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001200-b-1/scores,809aaa9a086e1d4b63f0e6f0569255f5be98c1ea6bee7f3e299c2a360443a200
mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001200-c-1/scores,85b4186d6dc7cd72f71257eb3765a07dd3eb1e890326c20cbe948a509bcef468
