assay_id,uniprot_id,taxon,coarse_selection_type,model,n_seeds,random_spearman,position_spearman,subset_spearman_difference,random_normalized_rmse,position_normalized_rmse,subset_normalized_rmse_difference
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,Virus,Stability,ESM1v_ensemble,10,0.5512608250669185,0.451532121064157,0.09972870400276149,5.058946249748446,4.842728969338532,0.21621728040991392
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,Virus,Stability,ESM1v_ensemble,10,0.7042754951538138,0.6128208503068934,0.09145464484692047,2.7716403475730353,2.6292664042848295,0.14237394328820593
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Human,Stability,ESM1v_ensemble,10,0.3113255850055008,0.22198724412047294,0.08933834088502784,6.030679698264796,5.9001846463474195,0.1304950519173768
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Prokaryote,Stability,ESM1v_ensemble,10,0.3810529153325988,0.2938134903044354,0.0872394250281634,2.0435920121438516,2.0043955327244096,0.03919647941944186
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,Prokaryote,Stability,ESM1v_ensemble,10,0.4023931865213197,0.3183073166597557,0.08408586986156405,2.9313631964624554,2.8888267509758174,0.04253644548663793
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5126012493972443,0.4296293430247811,0.08297190637246325,6.968055229294656,6.992951240042691,-0.024896010748035824
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,Eukaryote,Stability,ESM1v_ensemble,10,0.3683301184899421,0.2880152798986629,0.08031483859127926,1.7417394361942613,1.6395244886095788,0.10221494758468222
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Eukaryote,Stability,ESM1v_ensemble,10,0.393435531924885,0.32052755925218335,0.07290797267270169,3.898890119811378,4.1219716572803256,-0.2230815374689477
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,Eukaryote,Activity,ESM1v_ensemble,10,0.08270327466095445,0.010962109483030898,0.07174116517792355,6.159827102308005,6.188195345863335,-0.028368243555330342
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Eukaryote,Stability,ESM1v_ensemble,10,0.6172041661857856,0.5541764817201136,0.06302768446567204,3.4970844790239837,3.7038138178487054,-0.20672933882472128
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Prokaryote,Stability,ESM1v_ensemble,10,0.2964596262058092,0.23355188866992643,0.06290773753588276,1.5609749577073593,1.7383637979403754,-0.17738884023301627
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,Human,Expression,ESM1v_ensemble,10,0.4796183364637958,0.4194239983255071,0.06019433813828876,19.77987800844123,19.473991440545994,0.30588656789523905
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5773211942257217,0.5190414920378166,0.058279702187905236,3.3630645434105384,3.2217181973178177,0.14134634609272007
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,Eukaryote,Stability,ESM1v_ensemble,10,0.26322212508473763,0.20572312969999468,0.05749899538474296,1.9189405580928505,1.9552961188783637,-0.03635556078551312
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,Human,Activity,ESM1v_ensemble,10,0.5791913270314997,0.5218928975289058,0.05729842950259397,11.608833890741156,10.594475805437549,1.014358085303609
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Human,Stability,ESM1v_ensemble,10,0.24889141080450833,0.19256662288065893,0.05632478792384943,1.3903550543356789,1.460541212123259,-0.07018615778758035
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Prokaryote,Stability,ESM1v_ensemble,10,0.2707080900510738,0.2153828485425849,0.05532524150848893,4.42173698806513,4.3034859869694975,0.11825100109563298
P84126_THETH_Chan_2017,P84126_THETH,Prokaryote,OrganismalFitness,ESM1v_ensemble,10,0.5809490421765114,0.5274076689883127,0.05354137318819878,13.260240363730228,13.254016558907491,0.00622380482273428
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Human,Stability,ESM1v_ensemble,10,0.4751810135104436,0.42202314975798405,0.053157863752459546,5.2744765540327325,5.313009037251542,-0.038532483218810754
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,Human,Activity,ESM1v_ensemble,10,0.45629037949235307,0.403936149501204,0.05235422999114912,16.004093647588597,15.306712225191063,0.6973814223975354
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,Eukaryote,Stability,ESM1v_ensemble,10,0.5213759762705481,0.469600220167787,0.051775756102761104,2.680406915636722,2.3975193121603704,0.2828876034763518
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,Eukaryote,Stability,ESM1v_ensemble,10,0.5010182505537616,0.44938553050562724,0.05163272004813431,3.587919627557008,3.544990807732053,0.04292881982495515
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Eukaryote,Activity,ESM1v_ensemble,10,0.05256063073956013,0.0009407050371167559,0.05161992570244338,3.4002764147169473,3.3563645437614404,0.04391187095550682
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,Human,OrganismalFitness,ESM1v_ensemble,10,0.44284435663815147,0.39135283584145836,0.05149152079669315,30.004485829980176,29.640461309992396,0.36402451998778174
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,Virus,Stability,ESM1v_ensemble,10,0.36195106464999205,0.3104934005331236,0.05145766411686844,1.5614630943364942,1.5613657587063658,9.733563012848112e-05
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Prokaryote,Stability,ESM1v_ensemble,10,0.28886559136872025,0.23991204072970226,0.048953550639017976,1.9608356590796319,1.9506014466438983,0.01023421243573346
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5873267364822258,0.540353055566702,0.046973680915523765,4.406247281294922,4.445213811095542,-0.03896652980061921
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5809192270444133,0.5364310979866025,0.04448812905781084,1.614336430282115,1.5978732724618934,0.016463157820221896
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5907488789237669,0.5464025562873064,0.04434632263646049,3.10312194702522,3.300079878140135,-0.1969579311149155
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,Stability,ESM1v_ensemble,10,0.5467199630136195,0.5041637192226911,0.042556243790928296,6.753927694120742,6.582958230395438,0.1709694637253035
