assay_id,uniprot_id,taxon,coarse_selection_type,seed,model,random_spearman,position_spearman,subset_spearman_difference,random_normalized_rmse,position_normalized_rmse,subset_normalized_rmse_difference
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,42,ESM1v_ensemble,0.02507937816729907,0.02202497043993955,0.0030544077273595184,4.248055627741357,4.030635652526104,0.21741997521525303
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,43,ESM1v_ensemble,0.02352292571780625,0.025709916911234504,-0.0021869911934282553,4.279681036006598,4.092442113191423,0.18723892281517518
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,44,ESM1v_ensemble,0.008295435508321177,0.0520031372923528,-0.04370770178403162,4.106502914944842,4.808628181223137,-0.7021252662782942
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,45,ESM1v_ensemble,-0.020895117414737815,0.08351567810724324,-0.10441079552198106,4.118883890906356,4.045780344623313,0.07310354628304339
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,46,ESM1v_ensemble,-0.005960527368721652,-0.030869327620018455,0.024908800251296805,4.228658483271153,4.337445319464492,-0.10878683619333884
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,47,ESM1v_ensemble,0.015078723295339585,0.02824909180246272,-0.013170368507123133,4.302944995556104,4.630304518566835,-0.32735952301073024
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,48,ESM1v_ensemble,0.013822677682812387,0.025892167725087085,-0.012069490042274698,4.161832419944945,4.592393746440218,-0.43056132649527257
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,49,ESM1v_ensemble,-0.0026550933551668346,-0.038495111722357124,0.035840018367190286,4.293748531581607,4.005575253493185,0.2881732780884221
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,50,ESM1v_ensemble,-0.00843039696748134,0.05229460648441222,-0.06072500345189356,4.355522469693732,4.201647645320449,0.1538748243732826
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,51,ESM1v_ensemble,0.0029957854378774447,-0.011673376207194287,0.014669161645071732,4.129804860603143,4.682254860313321,-0.5524499997101788
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,42,ESM1v_ensemble,0.5133464198296128,0.5087757380134469,0.0045706818161659335,2.918438405326323,2.8723766641534683,0.04606174117285455
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,43,ESM1v_ensemble,0.5067855157983392,0.5334090204510658,-0.02662350465272656,2.9255154884449697,2.8947682114645152,0.03074727698045443
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,44,ESM1v_ensemble,0.5000261508162709,0.46255403089210884,0.03747211992416205,2.9218937312695785,2.860542485626293,0.061351245643285424
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,45,ESM1v_ensemble,0.5247551646449432,0.45721435488370926,0.06754080976123394,2.8785132926806063,2.9868051292976,-0.10829183661699382
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,46,ESM1v_ensemble,0.5264854990263598,0.4898012093225191,0.03668428970384069,2.9039685805574584,2.8748803185697644,0.029088261987693986
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,47,ESM1v_ensemble,0.5280440548260676,0.5145501476751924,0.013493907150875284,2.871030085322152,2.936469073177052,-0.06543898785489999
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,48,ESM1v_ensemble,0.4938609842769126,0.4370786354779034,0.05678234879900923,2.936675156108707,3.0135534154809367,-0.0768782593722297
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,49,ESM1v_ensemble,0.5073802431568197,0.545012357141885,-0.037632113985065274,2.88470005200693,2.849059025764583,0.035641026242346996
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,50,ESM1v_ensemble,0.5227183303554633,0.5130591807702426,0.009659149585220739,2.9059013190969476,2.9469500631536176,-0.04104874405667003
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,51,ESM1v_ensemble,0.5239689614896691,0.5098922077645084,0.014076753725160707,2.8950468958672673,2.845022508931637,0.05002438693563027
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,42,ESM1v_ensemble,0.003982043844195172,0.19941884855597777,-0.1954368047117826,5.371587463799653,5.748133174965882,-0.37654571116622915
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,43,ESM1v_ensemble,0.1340570885977005,0.04585022773362482,0.08820686086407567,5.66497376947981,5.352106568425981,0.31286720105382937
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,44,ESM1v_ensemble,0.12038499316981052,0.1602360218681075,-0.039851028698296986,5.448338825553522,5.172794296078394,0.27554452947512775
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,45,ESM1v_ensemble,0.14634315069862786,0.16939090329118628,-0.023047752592558424,5.472816958426602,5.431589562810064,0.041227395616537876
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,46,ESM1v_ensemble,0.0856299310535877,0.09334619766011541,-0.007716266606527716,5.412451089534484,5.449327592461498,-0.036876502927014165
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,47,ESM1v_ensemble,0.08737464314929934,0.1136126708954673,-0.026238027746167958,5.359241337163644,5.456427611892165,-0.09718627472852148
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,48,ESM1v_ensemble,0.05307425762048729,0.02031870005836512,0.03275555756212217,5.578649883161645,5.247863644219157,0.3307862389424878
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,49,ESM1v_ensemble,0.14855430581057477,0.020700834794980607,0.12785347101559416,5.527301339727947,4.987225677622926,0.5400756621050204
