panel_id,target_id,annotation_status,pfam_count,resolved_uniprot_accession,error,outcomes_accessed
human-domainome-v1,A1X283_PF00018_155,audited_with_annotation,1,,,False
human-domainome-v1,A1X283_PF00018_222,audited_with_annotation,1,,,False
human-domainome-v1,O00308_PF00397_440,audited_with_annotation,1,,,False
human-domainome-v1,O00330_PF02817_181,audited_with_annotation,1,,,False
human-domainome-v1,O14529_PF02376_1036,audited_with_annotation,1,,,False
human-domainome-v1,O14529_PF02376_895,audited_with_annotation,1,,,False
human-domainome-v1,O14640_PF00778_4,audited_with_annotation,1,,,False
human-domainome-v1,O14776_PF01846_645,audited_with_annotation,1,,,False
human-domainome-v1,O14776_PF01846_727,audited_with_annotation,1,,,False
human-domainome-v1,O14776_PF01846_793,audited_with_annotation,1,,,False
human-domainome-v1,O14776_PF01846_897,audited_with_annotation,1,,,False
human-domainome-v1,O14776_PF01846_955,audited_with_annotation,1,,,False
human-domainome-v1,O14813_PF00046_92,audited_with_annotation,1,,,False
human-domainome-v1,O14901_PF00096_395,audited_with_annotation,1,,,False
human-domainome-v1,O14936_PF00595_488,audited_with_annotation,1,,,False
human-domainome-v1,O15151_PF00641_299,audited_with_annotation,1,,,False
human-domainome-v1,O15265_PF08313_334,audited_with_annotation,1,,,False
human-domainome-v1,O15266_PF00046_119,audited_with_annotation,1,,,False
human-domainome-v1,O15405_PF00505_256,audited_with_annotation,1,,,False
human-domainome-v1,O15541_PF00642_198,audited_with_annotation,1,,,False
human-domainome-v1,O43167_PF00096_351,audited_with_annotation,1,,,False
human-domainome-v1,O43167_PF00096_435,audited_with_annotation,1,,,False
human-domainome-v1,O43186_PF00046_41,audited_with_annotation,1,,,False
human-domainome-v1,O43295_PF00018_745,audited_with_annotation,1,,,False
human-domainome-v1,O43353_PF00619_438,audited_with_annotation,1,,,False
human-domainome-v1,O43395_PF01480_10,audited_with_annotation,1,,,False
human-domainome-v1,O43586_PF00018_361,audited_with_annotation,1,,,False
human-domainome-v1,O60341_PF04433_186,audited_with_annotation,1,,,False
human-domainome-v1,O60481_PF00096_389,audited_with_annotation,1,,,False
human-domainome-v1,O60885_PF17035_607,audited_with_annotation,1,,,False
human-domainome-v1,O75112_PF00595_1,audited_with_annotation,1,,,False
human-domainome-v1,O75360_PF00046_71,audited_with_annotation,1,,,False
human-domainome-v1,O75366_PF02209_785,audited_with_annotation,1,,,False
human-domainome-v1,O75369_PF00630_1423,audited_with_annotation,1,,,False
human-domainome-v1,O75369_PF00630_2109,audited_with_annotation,1,,,False
human-domainome-v1,O75382_PF00643_111,audited_with_annotation,1,,,False
human-domainome-v1,O75400_PF00397_176,audited_with_annotation,1,,,False
human-domainome-v1,O75400_PF01846_395,audited_with_annotation,1,,,False
human-domainome-v1,O75400_PF01846_459,audited_with_annotation,1,,,False
human-domainome-v1,O75400_PF01846_670,audited_with_annotation,1,,,False
human-domainome-v1,O75400_PF01846_745,audited_with_annotation,1,,,False
human-domainome-v1,O75478_PF04433_375,audited_with_annotation,1,,,False
human-domainome-v1,O75534_PF00313_184,audited_with_annotation,1,,,False
human-domainome-v1,O75534_PF00313_23,audited_with_annotation,1,,,False
human-domainome-v1,O75534_PF00313_347,audited_with_annotation,1,,,False
human-domainome-v1,O75554_PF06220_8,audited_with_annotation,1,,,False
human-domainome-v1,O75970_PF00595_1003,audited_with_annotation,1,,,False
human-domainome-v1,O75970_PF00595_1860,audited_with_annotation,1,,,False
human-domainome-v1,O75970_PF00595_372,audited_with_annotation,1,,,False
human-domainome-v1,O75970_PF00595_693,audited_with_annotation,1,,,False
human-domainome-v1,O94830_PF00536_389,audited_with_annotation,1,,,False
human-domainome-v1,O94885_PF00536_630,audited_with_annotation,1,,,False
human-domainome-v1,O94929_PF00412_149,audited_with_annotation,1,,,False
human-domainome-v1,O94929_PF00412_210,audited_with_annotation,1,,,False
human-domainome-v1,O94993_PF00505_338,audited_with_annotation,1,,,False
human-domainome-v1,O95076_PF00046_155,audited_with_annotation,1,,,False
human-domainome-v1,O95155_PF04564_1229,audited_with_annotation,1,,,False
human-domainome-v1,O95218_PF00641_11,audited_with_annotation,1,,,False
human-domainome-v1,O95218_PF00641_9,audited_with_annotation,1,,,False
human-domainome-v1,O95267_PF00130_539,audited_with_annotation,1,,,False
human-domainome-v1,O95343_PF00046_212,audited_with_annotation,1,,,False
human-domainome-v1,O95475_PF00046_134,audited_with_annotation,1,,,False
human-domainome-v1,O95718_PF00105_100,audited_with_annotation,1,,,False
human-domainome-v1,O95789_PF06467_427,audited_with_annotation,1,,,False
human-domainome-v1,O95793_PF00035_183,audited_with_annotation,1,,,False
