protocol_id,panel_id,dataset_id,assay_id,task_id,target_id,protein_id,family_id,model_id,selection_gain_sd,protein_length,assayed_fraction,mutated_positions,msa_depth,msa_neff,alignment_coverage,sequence_identity_to_development,structure_similarity_to_development,domain_coverage,score_dispersion,score_tail_separation,missing_fraction,ensemble_disagreement,ensemble_agreement,taxon,assay_modality,model_family,model_modalities,exposure_status,structure_available,development_crossover_probability_supervised_wins,transport_estimator,fold,predicted_selection_gain_sd,decision_selection_gain_sd,predicted_error_scale,lower_selection_gain_sd,auditor_selected,auditor_confidence,trusted,prediction_error,decision_prediction_error,lower_bound_covers
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm2_650m,0.0776851337432295,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,3.694563718346456,0.9796610424011084,0.0,0.2713945099297741,0.7286054900702259,Virus,OrganismalFitness,masked-protein-language-model,single_sequence,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6210271946885977,0.6210271946885977,0.271435592198373,0.011790135194515772,False,,False,0.5433420609453682,0.5433420609453682,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm3_open,0.1862852047545771,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,4.599961327131952,1.1081268441732282,0.0,0.287364309305858,0.712635690694142,Virus,OrganismalFitness,multimodal-generative-model,sequence_structure_function,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6059561241585014,0.6059561241585014,0.23354885659547997,0.08175582497132605,False,,False,0.4196709194039243,0.4196709194039243,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esmc_600m,0.0176546373880088,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,1.17658672953131,1.2851166504409173,0.0,0.3822508417602371,0.6177491582397628,Virus,OrganismalFitness,masked-protein-language-model,single_sequence,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.4882154568123868,0.4882154568123868,0.33960702579090074,-0.27403235343487736,False,,False,0.470560819424378,0.470560819424378,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,gemme,0.5792163788850654,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,2.3605424747648724,1.8073888566189469,0.0,0.2373311529474999,0.7626688470525,Virus,OrganismalFitness,evolutionary-sequence-model,msa,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.706153805752403,0.706153805752403,0.4246105286296873,-0.24688432678373595,False,,False,0.12693742686733767,0.12693742686733767,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,progen3_3b,0.5014795231889526,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,0.0054649487687713,1.1201716517301634,0.0,0.2516917253950481,0.7483082746049519,Virus,OrganismalFitness,autoregressive-protein-language-model,single_sequence,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6539996413182535,0.6539996413182535,0.35847391864785544,-0.15059490110538842,False,,False,0.15252011812930089,0.15252011812930089,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,prosst_2048,0.0660966057930449,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,4.648870239398818,1.0072337494512495,0.0,0.2830769566420595,0.7169230433579404,Virus,OrganismalFitness,structure-aware-protein-language-model,sequence_structure,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6068089706018409,0.6068089706018409,0.25516136976790127,0.0340993957268253,False,,False,0.540712364808796,0.540712364808796,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,s3f_msa,0.5426112422160076,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,0.852585812522113,1.7942222774281396,0.0,0.2066830285568284,0.7933169714431716,Virus,OrganismalFitness,structure-msa-model,structure_msa,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.7462996508545805,0.7462996508545805,0.4241393320673978,-0.2056808812183032,True,0.6605078787448395,False,0.20368840863857285,0.20368840863857285,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,saprot_650m,0.1426163111051781,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,2.903076855258511,1.162787658770152,0.0,0.26505047218437,0.7349495278156299,Virus,OrganismalFitness,structure-aware-protein-language-model,sequence_structure,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6382744054599957,0.6382744054599957,0.30170045026748604,-0.03889211378804802,False,,False,0.49565809435481756,0.49565809435481756,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,siterm,0.6435590804707118,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,1.863566438525242,1.7252273397993587,0.0,0.2222728617943993,0.7777271382056007,Virus,OrganismalFitness,structure-msa-model,structure_msa,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.722238728115968,0.722238728115968,0.4210503095525643,-0.22280849436989292,False,,False,0.07867964764525626,0.07867964764525626,True
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,tranception_l,0.5066639420291131,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,0.0016493503750644,1.4041165561026587,0.0,0.2319323440739846,0.7680676559260153,Virus,OrganismalFitness,retrieval-augmented-protein-language-model,msa_retrieval,known-development-benchmark,available,0.4165809200656792,elastic_net,0,0.6939448075017909,0.6939448075017909,0.41262487845034207,-0.23219153882330323,False,,False,0.18728086547267775,0.18728086547267775,True
