protocol_id,panel_id,dataset_id,assay_id,target_id,protein_id,family_id,model_id,aligned_variants,status
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_8m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-a-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_8m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-b-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,8528,included
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,8528,included
